slr,t,score,n,p,p.fdr,PG.ProteinGroups,group1,group2,slr_ratio_meta,test,type,significant_changed,significant_changed_raw_p,significant_changed_fc,significant_changed_p_value,fold_change_absolute,fold_change_direction,fold_change,effect_size_method,d,d_pooled_SD,d_95CI_lower,d_95CI_upper,d_magnitute
0.3583362090985732,0.8427075412596557,0.4090525633958104,2,0.38484387743093534,0.807642540938775,H9L410,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.2819466372590367,up,1.2819466372590367,Cohen's d,0.5004002006011913,0.7462005908420204,-0.5886468122878438,1.5894472134902262,medium
1.5593415733410865,8.371425473903733,0.0020776736493935966,15,2.2057076821300637e-18,1.3760608153288692e-16,H9L419,EM8513,TH9677,EM8513/TH9677,rots,median,up,up,1.5,0.05,2.9471930682303933,up,2.9471930682303933,Cohen's d,3.667522027634043,0.27554186046702384,3.0754968243573577,4.259547230910728,large
-0.08692682084379538,-0.5999998404855426,0.7257617695700109,28,0.9946095572929184,1,H9L427,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.0621053109780103,down,-1.0621053109780103,Cohen's d,-0.08005871811789947,0.37558920977053184,-0.3435110433866013,0.1833936071508024,negligible
-0.29075372373319197,-1.794484125118265,0.3228081955163542,15,0.07452337059191716,0.26705829278696164,H9L435,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.2232792025748649,down,-1.2232792025748649,Cohen's d,-0.8096352207993933,0.2042842964289343,-1.185702537684993,-0.43356790391379374,large
-0.8437267721236124,-1.4752962128262355,0.07806330393237781,3,0.01733022153980398,0.09183679175050564,H9L437,EM8513,TH9677,EM8513/TH9677,rots,median,none,down,1.5,0.05,1.7946801798147434,down,-1.7946801798147434,Cohen's d,-0.907164570448061,0.3343591566879286,-1.796300994917263,-0.018028145978858934,large
0.06805274387280483,0.23333199245331473,0.8217695148842338,19,0.9993839266965705,1,H9L438,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.0483007999249223,up,1.0483007999249223,Cohen's d,0.045650138628922275,0.4130258594770093,-0.2749257777272766,0.3662260549851211,negligible
-0.031114627468494978,-0.18142879946229673,0.9032046398382947,6,0.9956758228319998,1,H9L440,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.0218012653870723,down,-1.0218012653870723,Cohen's d,-0.2048763404518373,0.393870882033372,-0.7874716376690263,0.3777189567653516,small
0.20593381311479608,0.5895341204832554,0.7539795387725101,2,0.8088752355997142,1,H9L441;Q8ZMY1,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.1534326875231031,up,1.1534326875231031,Cohen's d,0.571781381352587,0.3109833891280012,-0.5223051611062858,1.6658679238114598,medium
0.38775050773735975,1.7213886669064233,0.24732706725468578,8,0.05640803941916208,0.2244058959501448,H9L442,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.3083517922578352,up,1.3083517922578352,Cohen's d,0.9084495095278662,0.2666853971120371,0.38356243255097666,1.4333365865047556,large
-0.4847541655978412,-1.9306953116461243,0.17393386622565232,5,0.039846694878568394,0.17444844887028746,H9L443,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.3993473972896298,down,-1.3993473972896298,Cohen's d,-1.2372210635917653,0.5130813759444383,-1.9359566244723334,-0.5384855027111972,large
-0.2595632899847263,-0.9182319414676483,0.4061346563763323,8,0.29021284151736515,0.6864508838473408,H9L444,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.1971162775038442,down,-1.1971162775038442,Cohen's d,-0.24822727002924513,0.5068086855347165,-0.7498909918681262,0.2534364518096359,small
1.021185330858302,1.6044206921049136,0.16370018375597206,2,0.10674585225408266,0.35474257195818026,H9L447,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,2.0295858001778937,up,2.0295858001778937,Cohen's d,1.5557829554109461,0.2943995150772262,0.3318642442273523,2.7797016665945398,large
-0.4400530408710399,-1.3659129207812648,0.2481062660786475,11,0.03312628258650193,0.15054908228468178,H9L449,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.3566542040992768,down,-1.3566542040992768,Cohen's d,-0.9018756492817349,0.43862870840174667,-1.3467290478997667,-0.4570222506637032,large
0.001660261892955206,0.030550401974340058,0.9973030962881294,18,1,1,H9L451,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.0011514682812308,up,1.0011514682812308,Cohen's d,-0.033230927308872935,0.25052674538768077,-0.3627221648543377,0.29626031023659183,negligible
0.8506290100328294,0.8690744422441966,0.22151742006615216,5,0.07578090016671257,0.271210653139017,H9L453,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.8032869807181031,up,1.8032869807181031,Cohen's d,1.0093502120480577,0.6647568223410458,0.3296394149440379,1.6890610091520775,large
-0.22889858083411857,-0.7847456158480957,0.49135735023888283,7,0.48109985133868843,0.9120297596165053,H9L457,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.1719398952687141,down,-1.1719398952687141,Cohen's d,-0.042891498336169565,0.8875752939071134,-0.578779632595614,0.4929966359232749,negligible
0.3282179851903179,1.379218949164558,0.34739691289966923,27,0.05049726534487652,0.2079884588874057,H9L460,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.2554616719631986,up,1.2554616719631986,Cohen's d,0.5268686907299909,0.3251882720249496,0.2540204003966209,0.7997169810633609,medium
-0.03146242046215169,-0.26232930935218535,0.891269900771775,10,0.9992168295715456,1,H9L461,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.0220476224825445,down,-1.0220476224825445,Cohen's d,0.21338268702784358,0.31729708111901916,-0.2330492919654229,0.65981466602111,small
-0.354661152313161,-1.12680769370622,0.33152579015067984,10,0.13012619084165672,0.40498457353780914,H9L462,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.2786852195218257,down,-1.2786852195218257,Cohen's d,-0.9354964618748141,0.44321477620688654,-1.4043809316876499,-0.46661199206197834,large
-0.4755692757270549,-1.7705449815039254,0.19454009555310547,3,0.09881247625838661,0.3365263614507088,H9L467,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.390466778486409,down,-1.390466778486409,Cohen's d,-0.6710916384086937,0.3571176821187331,-1.5412519299203893,0.19906865310300192,medium
1.0769322858654953,2.467837210221683,0.03821278941565598,1,0.03821278941565598,0.16783057111356106,H9L469,EM8513,TH9677,EM8513/TH9677,rots,median,none,up,1.5,0.05,2.1095456184716492,up,2.1095456184716492,Cohen's d,1.1887030147053415,0.6775519451416248,-0.6881173411883654,3.065523370599048,large
3.308753795169466,13.061039724208975,4.348768834987471e-4,45,1.9633311972254853e-65,5.389344136383957e-62,H9L472,EM8513,TH9677,EM8513/TH9677,rots,median,up,up,1.5,0.05,9.909098389049891,up,9.909098389049891,Cohen's d,3.538591362954487,0.43065503666364147,3.2065757816137626,3.870606944295212,large
0.01168226854975224,0.09760878705234305,0.9585025633958104,4,0.9981783533414206,1,H9L473,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.008130405188044,up,1.008130405188044,Cohen's d,0.29591873179056216,0.23307998883987524,-0.4300746521970964,1.0219121157782207,small
-0.3941279873180456,-0.9190886491585089,0.3422049614112459,3,0.271165405984329,0.6563924509938122,H9L475,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.3141482053860578,down,-1.3141482053860578,Cohen's d,-0.587700356146495,0.47592183835997837,-1.4524390969340648,0.2770383846410748,medium
0.022710284854678603,0.026267769826930097,0.9568212054391768,6,0.9997138980542697,1,H9L478,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.0158661211140332,up,1.0158661211140332,Cohen's d,0.2538216453788493,0.6307443237606494,-0.32958631275975436,0.837229603517453,small
0.17660773529404536,1.0271225010834626,0.5933560271958839,2,0.6181702975666805,1,H9L479,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.1302232208423648,up,1.1302232208423648,Cohen's d,0.5567430782730024,0.24238007056904057,-0.5362279686842962,1.6497141252303011,medium
-0.3390266947728723,-1.0971661223951832,0.40540365674384415,12,0.24973892582407672,0.6203921732009869,H9L481,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.2649029471508821,down,-1.2649029471508821,Cohen's d,-0.6691580184985778,0.44320100271599805,-1.085639320253939,-0.2526767167432166,medium
0.012906345331566945,0.10719334674073058,0.954151157662624,6,0.9996489293846844,1,H9L487,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.0089861319012998,up,1.0089861319012998,Cohen's d,0.1386347833840672,0.2808141283384951,-0.4431357052536413,0.7204052720217757,negligible
3.2044827379963654,9.843284387392586,6.938809261300971e-4,24,8.633765645225904e-34,1.9749738913454253e-31,H9L489,EM8513,TH9677,EM8513/TH9677,rots,median,up,up,1.5,0.05,9.218185105722341,up,9.218185105722341,Cohen's d,2.951882572616395,0.5043382288922037,2.540360867862435,3.363404277370355,large
0.35743465736820557,2.0658361966937293,0.21687628629180444,6,0.05597880131251638,0.22302149434376992,H9L492,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.2811457887529167,up,1.2811457887529167,Cohen's d,0.8652884799521924,0.2782207531713938,0.2576321930676332,1.4729447668367515,large
-0.23797959332921725,-1.313380736999267,0.42122114112458653,8,0.3218002880619324,0.7342824528096462,H9L493,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.1793399105850317,down,-1.1793399105850317,Cohen's d,-0.3095242502160564,0.4223282690047641,-0.812250598632521,0.1932020982004083,small
-0.6180967312982171,-0.7316322914920521,0.4747264884233737,2,0.4678344738817415,0.9006981838142728,H9L494,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.5348490026826074,down,-1.5348490026826074,Cohen's d,-0.5747340914509763,0.2953013052574042,-1.6690430125940465,0.5195748296920938,medium
0.3331169582340009,2.0356953446252466,0.26389355935317904,14,0.02781504250837265,0.13192008805990016,H9L4A3,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.25973210136992,up,1.25973210136992,Cohen's d,0.6276449218842709,0.3007055157257339,0.24401622280266172,1.0112736209658801,medium
-2.566422294702231,-1.4520766515031758,0.09802058985667039,2,0.05053854356207635,0.2079884588874057,H9L4A5,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,5.923386786922659,down,-5.923386786922659,Cohen's d,-0.8531228392266735,0.520130573243556,-1.973236184074985,0.26699050562163784,large
2.3132770137181033,5.630237066950461,0.001763359059169467,3,9.317339413307758e-6,1.367705705322449e-4,H9L4B0,EM8513,TH9677,EM8513/TH9677,rots,median,up,up,1.5,0.05,4.97010735218674,up,4.97010735218674,Cohen's d,1.73306739704526,0.8456926701785865,0.7401172991059694,2.7260174949845504,large
0.9512561507217016,1.5085463603177143,0.11000946343256157,7,0.0038928767300338146,0.028047103999849922,H9L4B1,EM8513,TH9677,EM8513/TH9677,rots,median,up,up,1.5,0.05,1.9335554667191994,up,1.9335554667191994,Cohen's d,0.93553071703129,0.6340884204312937,0.37115447184703976,1.4999069622155403,large
0.6481625431874691,2.059366538717977,0.08743009922822487,11,1.399779349781716e-4,0.0015369577260603243,H9L4B2,EM8513,TH9677,EM8513/TH9677,rots,median,up,up,1.5,0.05,1.567170931384428,up,1.567170931384428,Cohen's d,1.2328919546886346,0.34954453394183005,0.7705485553470833,1.6952353540301859,large
-0.35887401098558236,-1.3859414451879921,0.5295036934950386,2,0.5375434582991623,0.9701228093564762,H9L4B3,EM8513,TH9677,EM8513/TH9677,rots,median,none,none,1.5,0.05,1.2824246051032717,down,-1.2824246051032717,Cohen's d,-0.6366646092123853,0.4649813660782348,-1.7358901383997811,0.4625609199750105,medium
