PG.ProteinGroups,R.FileName,protein_intensity,R.Condition,R.Replicate,intensity_rank,raw_protein_intensity
H9L427,E1_250721_25...E012_sample_01,194314.9826233071,TH9677,1,270,206354.622877863
H9L427,E1_250721_25...E012_sample_07,215272.28133918243,TH9677,2,244,209771.803523326
H9L427,E1_250721_25...E012_sample_13,192897.84051449006,TH9677,3,274,197939.878034391
H9L427,E1_250721_25...E012_sample_19,185536.10572161325,TH9677,4,279,191674.906300321
H9L435,E1_250721_25...E012_sample_06,44970.82836213532,EM16223,1,904,42692.5784066094
H9L435,E1_250721_25...E012_sample_12,49672.57483216172,EM16223,2,836,45166.6783838633
H9L435,E1_250721_25...E012_sample_18,48113.23097068876,EM16223,3,863,45886.17756506
H9L435,E1_250721_25...E012_sample_24,44189.91722700511,EM16223,4,923,44846.8354573598
H9L435,E1_250721_25...E012_sample_02,36176.13659222728,EM8513,1,1074,39692.4895798136
H9L435,E1_250721_25...E012_sample_08,35081.81664668719,EM8513,2,1094,38226.8160400487
H9L435,E1_250721_25...E012_sample_14,34724.303587090995,EM8513,3,1090,41607.9059864188
H9L435,E1_250721_25...E012_sample_20,34604.60910305413,EM8513,4,1113,36393.0560161193
H9L435,E1_250721_25...E012_sample_03,46426.13019058089,EM9660,1,868,47057.5083727709
H9L435,E1_250721_25...E012_sample_09,46213.83139382783,EM9660,2,880,48859.093111282
H9L435,E1_250721_25...E012_sample_15,40620.24886353014,EM9660,3,988,43105.0993977879
H9L435,E1_250721_25...E012_sample_21,39655.317609448124,EM9660,4,993,43272.9539640699
H9L435,E1_250721_25...E012_sample_04,51308.480635001564,EM9661,1,828,48256.558703888
H9L435,E1_250721_25...E012_sample_10,48566.03771667943,EM9661,2,857,46136.1530693962
H9L435,E1_250721_25...E012_sample_16,46247.35013248994,EM9661,3,898,44555.1200716352
H9L435,E1_250721_25...E012_sample_22,48044.06867057065,EM9661,4,862,42227.5842489376
H9L435,E1_250721_25...E012_sample_05,53717.71351281597,EM9662,1,805,49942.1306618407
H9L435,E1_250721_25...E012_sample_11,51218.08705178537,EM9662,2,828,49192.8694044133
H9L435,E1_250721_25...E012_sample_17,50087.37021294999,EM9662,3,852,47684.9402925551
