PG.ProteinGroups,R.FileName,protein_intensity,R.Condition,R.Replicate,intensity_rank,raw_protein_intensity
Q05599,E1_250721_25...E012_sample_03,6456.202324283833,EM9660,1,2379,6544.00428560656
Q05599,E1_250721_25...E012_sample_09,9495.745852017804,EM9660,2,2176,10039.278647794
Q05599,E1_250721_25...E012_sample_15,7172.967233224104,EM9660,3,2359,7611.75704767285
Q05599,E1_250721_25...E012_sample_21,9731.396526120558,EM9660,4,2164,10619.1628075775
Q05599,E1_250721_25...E012_sample_04,9359.054363682812,EM9661,1,2161,8802.36075448787
Q05599,E1_250721_25...E012_sample_10,11520.287826564056,EM9661,2,1961,10943.8979904124
Q05599,E1_250721_25...E012_sample_16,8025.858512823295,EM9661,3,2245,7732.18549154407
Q05599,E1_250721_25...E012_sample_22,3518.267690953435,EM9661,4,2564,3092.32647111456
Q05599,E1_250721_25...E012_sample_05,11720.02987692967,EM9662,1,1970,10896.2802993216
Q05599,E1_250721_25...E012_sample_11,12952.69878979668,EM9662,2,1901,12440.5353006826
Q05599,E1_250721_25...E012_sample_17,4363.011146676545,EM9662,3,2423,4153.74025708446
Q05599,E1_250721_25...E012_sample_23,8322.370646082167,EM9662,4,2211,7768.71169613045
Q05599,E1_250721_25...E012_sample_01,5671.881754825652,TH9677,1,2365,6023.30816040993
Q05599,E1_250721_25...E012_sample_07,12038.769183322027,TH9677,2,1955,11731.1634738868
Q05599,E1_250721_25...E012_sample_13,8080.278877206968,TH9677,3,2260,8291.48429641476
Q05599,E1_250721_25...E012_sample_19,8599.2167554265925,TH9677,4,2237,8883.73753152746
Q05601,E1_250721_25...E012_sample_06,2632.2980170130963,EM16223,1,2657,2498.94417278548
Q05601,E1_250721_25...E012_sample_12,2318.863717538103,EM16223,2,2672,2108.51505282226
Q05601,E1_250721_25...E012_sample_18,1519.18561370372,EM16223,3,2727,1448.86592353695
Q05601,E1_250721_25...E012_sample_24,1237.6373611019344,EM16223,4,2732,1256.03582383042
Q05601,E1_250721_25...E012_sample_02,1441.1906238155602,EM8513,1,2732,1581.27564762167
Q05601,E1_250721_25...E012_sample_08,2524.8925763123957,EM8513,2,2646,2751.24304444174
Q05601,E1_250721_25...E012_sample_14,17012.569240024164,EM8513,3,1734,20385.0706393869
Q05601,E1_250721_25...E012_sample_20,19009.91402735156,EM8513,4,1664,19992.3907245627
Q05601,E1_250721_25...E012_sample_03,1494.8933510461318,EM9660,1,2725,1515.2233471642
Q05601,E1_250721_25...E012_sample_09,2108.568024880324,EM9660,2,2699,2229.26163773686
Q05601,E1_250721_25...E012_sample_15,2861.0965534740153,EM9660,3,2650,3036.11757127595
Q05601,E1_250721_25...E012_sample_21,2157.599137698417,EM9660,4,2695,2354.43047205088
Q05601,E1_250721_25...E012_sample_04,3061.7844186953816,EM9661,1,2600,2879.66390177281
Q05601,E1_250721_25...E012_sample_10,2523.051483050997,EM9661,2,2653,2396.81668294777
Q05601,E1_250721_25...E012_sample_16,1403.3552528238297,EM9661,3,2735,1352.00528492116
Q05601,E1_250721_25...E012_sample_22,1900.9059676667098,EM9661,4,2708,1670.77162946701
Q05601,E1_250721_25...E012_sample_05,1791.3116060152638,EM9662,1,2701,1665.40815744777
Q05601,E1_250721_25...E012_sample_11,1968.1618616708506,EM9662,2,2695,1890.33864794734
Q05601,E1_250721_25...E012_sample_17,2131.378214257152,EM9662,3,2652,2029.14711743895
Q05601,E1_250721_25...E012_sample_23,1536.2615290566537,EM9662,4,2720,1434.05928630637
Q05601,E1_250721_25...E012_sample_01,2247.787892597365,TH9677,1,2642,2387.05948776757
Q05601,E1_250721_25...E012_sample_07,1629.7224449576815,TH9677,2,2718,1588.08098466968
Q05601,E1_250721_25...E012_sample_13,2175.696537717874,TH9677,3,2688,2232.5657258116
Q05601,E1_250721_25...E012_sample_19,1483.511954524309,TH9677,4,2721,1532.59665428953
Q05602,E1_250721_25...E012_sample_06,4830.39501873633,EM16223,1,2475,4585.68422203963
Q05602,E1_250721_25...E012_sample_12,3163.7177465240943,EM16223,2,2561,2876.73071986705
Q05602,E1_250721_25...E012_sample_18,9148.738002458345,EM16223,3,2175,8725.26346718981
Q05602,E1_250721_25...E012_sample_24,12531.24614056314,EM16223,4,1943,12717.5330710525
Q05602,E1_250721_25...E012_sample_02,14795.06904174511,EM8513,1,1840,16233.1630486564
Q05602,E1_250721_25...E012_sample_08,15676.26179453405,EM8513,2,1784,17081.600472702
Q05602,E1_250721_25...E012_sample_14,14260.991195267141,EM8513,3,1871,17088.0311375463
Q05602,E1_250721_25...E012_sample_20,13939.988074660987,EM8513,4,1932,14660.4391731273
Q05602,E1_250721_25...E012_sample_03,8595.541818984926,EM9660,1,2233,8712.43800538536
Q05602,E1_250721_25...E012_sample_09,7993.9386643753805,EM9660,2,2282,8451.50860140019
Q05602,E1_250721_25...E012_sample_15,7291.039046235086,EM9660,3,2348,7737.05163296735
Q05602,E1_250721_25...E012_sample_21,8665.426654169954,EM9660,4,2238,9455.94768343451
Q05602,E1_250721_25...E012_sample_04,7977.136476223248,EM9661,1,2255,7502.64186133762
Q05602,E1_250721_25...E012_sample_10,4236.115163266776,EM9661,2,2494,4024.17135060918
Q05602,E1_250721_25...E012_sample_16,6853.711381171875,EM9661,3,2327,6602.92822506855
Q05602,E1_250721_25...E012_sample_22,10506.75697080804,EM9661,4,2054,9234.75004188564
Q05602,E1_250721_25...E012_sample_05,4590.256070991268,EM9662,1,2411,4267.62707266123
Q05602,E1_250721_25...E012_sample_11,4484.392551806587,EM9662,2,2450,4307.07489985133
Q05602,E1_250721_25...E012_sample_17,11408.315424351236,EM9662,3,1971,10861.118033068
Q05602,E1_250721_25...E012_sample_23,5251.115738258792,EM9662,4,2405,4901.7769080917
Q05602,E1_250721_25...E012_sample_01,5801.254362375935,TH9677,1,2353,6160.69661744681
Q05602,E1_250721_25...E012_sample_07,4738.09940993408,TH9677,2,2440,4617.03500474667
Q05602,E1_250721_25...E012_sample_13,7050.254817327158,TH9677,3,2336,7234.53707377448
Q05602,E1_250721_25...E012_sample_19,10796.288305036667,TH9677,4,2086,11153.5032020352
Q05603,E1_250721_25...E012_sample_06,12657.306603270727,EM16223,1,1961,12016.0796288915
Q05603,E1_250721_25...E012_sample_12,12631.194606022298,EM16223,2,1914,11485.3942301539
Q05603,E1_250721_25...E012_sample_18,12677.152180237297,EM16223,3,1940,12090.3552770347
Q05603,E1_250721_25...E012_sample_24,12063.51382537017,EM16223,4,1969,12242.8475433609
Q05603,E1_250721_25...E012_sample_02,23269.342424086393,EM8513,1,1454,25531.1434194333
Q05603,E1_250721_25...E012_sample_08,25180.629507490703,EM8513,2,1373,27438.0115958552
Q05603,E1_250721_25...E012_sample_14,23975.844772940964,EM8513,3,1418,28728.7171290703
Q05603,E1_250721_25...E012_sample_20,18938.48108869182,EM8513,4,1666,19917.265965017
Q05603,E1_250721_25...E012_sample_03,11189.840626325495,EM9660,1,2050,11342.0183160154
Q05603,E1_250721_25...E012_sample_09,11595.176008317174,EM9660,2,2025,12258.8793689098
Q05603,E1_250721_25...E012_sample_15,12645.445162236427,EM9660,3,1971,13419.0012591692
Q05603,E1_250721_25...E012_sample_21,13386.128605606698,EM9660,4,1904,14607.3051945378
Q05603,E1_250721_25...E012_sample_04,11332.37570536794,EM9661,1,2023,10658.3053466515
Q05603,E1_250721_25...E012_sample_10,10926.032288560482,EM9661,2,2007,10379.374596027
Q05603,E1_250721_25...E012_sample_16,10713.678833836999,EM9661,3,2047,10321.6561702028
Q05603,E1_250721_25...E012_sample_22,9306.295414201102,EM9661,4,2131,8179.62309444037
Q05603,E1_250721_25...E012_sample_05,10161.550579040853,EM9662,1,2058,9447.3396866433
Q05603,E1_250721_25...E012_sample_11,12069.139890950624,EM9662,2,1951,11591.913260619
Q05603,E1_250721_25...E012_sample_17,10031.866053047655,EM9662,3,2062,9550.68975928799
Q05603,E1_250721_25...E012_sample_23,9728.443765629698,EM9662,4,2111,9081.24356402867
Q05603,E1_250721_25...E012_sample_01,11833.545747301097,TH9677,1,1958,12566.7451733563
Q05603,E1_250721_25...E012_sample_07,11538.241187548852,TH9677,2,1987,11243.42459857
Q05603,E1_250721_25...E012_sample_13,13554.21841146936,TH9677,3,1904,13908.5037554695
Q05603,E1_250721_25...E012_sample_19,12401.355886912736,TH9677,4,1973,12811.6773733924
Q05628,E1_250721_25...E012_sample_06,2251.0773354816847,EM16223,1,2688,2137.03636656405
Q05628,E1_250721_25...E012_sample_12,2537.779806883459,EM16223,2,2635,2307.57283538989
Q05628,E1_250721_25...E012_sample_18,2396.627800927715,EM16223,3,2671,2285.69328253438
Q05628,E1_250721_25...E012_sample_24,3017.633469654118,EM16223,4,2573,3062.49298881911
Q05628,E1_250721_25...E012_sample_02,1745.8854724866962,EM8513,1,2712,1915.58710940724
Q05628,E1_250721_25...E012_sample_08,1218.664058686508,EM8513,2,2734,1327.91432254485
Q05628,E1_250721_25...E012_sample_14,4187.765330976164,EM8513,3,2559,5017.93061875017
Q05628,E1_250721_25...E012_sample_20,5057.282477005656,EM8513,4,2546,5318.6546314364105
Q05628,E1_250721_25...E012_sample_03,1712.5267361620445,EM9660,1,2710,1735.81646574302
Q05628,E1_250721_25...E012_sample_09,2299.0360841732663,EM9660,2,2678,2430.63201459252
Q05628,E1_250721_25...E012_sample_15,1797.2560584836979,EM9660,3,2703,1907.19907464111
Q05628,E1_250721_25...E012_sample_21,1757.2209681396082,EM9660,4,2708,1917.52699620004
Q05628,E1_250721_25...E012_sample_04,3081.756942357656,EM9661,1,2596,2898.44842333036
Q05628,E1_250721_25...E012_sample_10,3193.525990751534,EM9661,2,2584,3033.74561457804
Q05628,E1_250721_25...E012_sample_16,1809.21617548583,EM9661,3,2711,1743.01540960474
Q05628,E1_250721_25...E012_sample_22,1777.1275290341655,EM9661,4,2717,1561.97850286074
Q05628,E1_250721_25...E012_sample_05,2658.7685251035696,EM9662,1,2602,2471.89532831907
Q05628,E1_250721_25...E012_sample_11,2945.7975826804563,EM9662,2,2580,2829.31761254806
Q05628,E1_250721_25...E012_sample_17,1783.527687413678,EM9662,3,2688,1697.98116616734
Q05628,E1_250721_25...E012_sample_23,1833.792661469524,EM9662,4,2696,1711.79668669804
Q05628,E1_250721_25...E012_sample_01,1566.457594038857,TH9677,1,2705,1663.51437088455
Q05628,E1_250721_25...E012_sample_07,2929.335816585941,TH9677,2,2591,2854.48759844058
Q05628,E1_250721_25...E012_sample_13,2522.6266829497677,TH9677,3,2665,2588.56406384637
Q05628,E1_250721_25...E012_sample_19,1853.2358804640673,TH9677,4,2697,1914.5535709008
Q05631,E1_250721_25...E012_sample_06,3100.790224557817,EM16223,1,2596,2943.70227558105
Q05631,E1_250721_25...E012_sample_12,3672.4450585098107,EM16223,2,2502,3339.31038204854
Q05631,E1_250721_25...E012_sample_18,1434.3266387895055,EM16223,3,2730,1367.93487998939
Q05631,E1_250721_25...E012_sample_24,2185.801222050489,EM16223,4,2664,2218.29489392863
Q05631,E1_250721_25...E012_sample_02,1675.5184733312776,EM8513,1,2719,1838.3803746964
Q05631,E1_250721_25...E012_sample_08,2399.7702162139644,EM8513,2,2655,2614.90376959318
Q05631,E1_250721_25...E012_sample_14,27319.63102440931,EM8513,3,1298,32735.3617444427
Q05631,E1_250721_25...E012_sample_20,20737.915674232634,EM8513,4,1565,21809.6995270869
Q05631,E1_250721_25...E012_sample_03,1893.5292284651325,EM9660,1,2700,1919.28052492866
Q05631,E1_250721_25...E012_sample_09,2615.0526673495415,EM9660,2,2658,2764.73726396124
Q05631,E1_250721_25...E012_sample_15,2427.4845967026445,EM9660,3,2676,2575.9803978309
Q05631,E1_250721_25...E012_sample_21,3208.2814594409556,EM9660,4,2619,3500.96340837502
Q05631,E1_250721_25...E012_sample_04,2337.603310200862,EM9661,1,2675,2198.55840533617
Q05631,E1_250721_25...E012_sample_10,3762.5067516996146,EM9661,2,2536,3574.25879446273
Q05631,E1_250721_25...E012_sample_16,2014.0256016167618,EM9661,3,2698,1940.33068381881
Q05631,E1_250721_25...E012_sample_22,3617.1044894863835,EM9661,4,2551,3179.19753246374
Q05631,E1_250721_25...E012_sample_05,1626.3733353292819,EM9662,1,2713,1512.06267553756
Q05631,E1_250721_25...E012_sample_11,2456.0377122183186,EM9662,2,2643,2358.92336836618
Q05631,E1_250721_25...E012_sample_17,1619.873194387027,EM9662,3,2712,1542.17632563757
Q05631,E1_250721_25...E012_sample_23,1623.5397868372086,EM9662,4,2707,1515.53121910918
Q05631,E1_250721_25...E012_sample_01,3891.459581525677,TH9677,1,2500,4132.57209273918
Q05631,E1_250721_25...E012_sample_07,2584.5867872454323,TH9677,2,2631,2518.54734083849
Q05631,E1_250721_25...E012_sample_13,3446.365958888901,TH9677,3,2585,3536.44839021981
Q05631,E1_250721_25...E012_sample_19,1768.0152706357628,TH9677,4,2704,1826.5132817066
Q05869,E1_250721_25...E012_sample_06,41345.91363303523,EM16223,1,965,39251.3040977803
Q05869,E1_250721_25...E012_sample_12,39559.88777514949,EM16223,2,1001,35971.3329554441
Q05869,E1_250721_25...E012_sample_18,43047.32575397223,EM16223,3,937,41054.7617234668
Q05869,E1_250721_25...E012_sample_24,45249.00055168022,EM16223,4,909,45921.6628971431
Q05869,E1_250721_25...E012_sample_02,35847.640729904575,EM8513,1,1085,39332.06362446
Q05869,E1_250721_25...E012_sample_08,32788.19918097546,EM8513,2,1147,35727.5813564228
Q05869,E1_250721_25...E012_sample_14,32027.466908053582,EM8513,3,1153,38376.4595523475
Q05869,E1_250721_25...E012_sample_20,31497.40466850041,EM8513,4,1201,33125.2640088902
Q05869,E1_250721_25...E012_sample_03,34136.61281065482,EM9660,1,1121,34600.8581064406
Q05869,E1_250721_25...E012_sample_09,36034.36222611278,EM9660,2,1067,38096.9550913809
Q05869,E1_250721_25...E012_sample_15,39232.773675437886,EM9660,3,1011,41632.7485981753
Q05869,E1_250721_25...E012_sample_21,37837.23919427992,EM9660,4,1032,41289.0176774545
Q05869,E1_250721_25...E012_sample_04,49496.14871045273,EM9661,1,847,46552.0275849474
Q05869,E1_250721_25...E012_sample_10,35811.11425874547,EM9661,2,1066,34019.3914658122
Q05869,E1_250721_25...E012_sample_16,49433.24730114762,EM9661,3,853,47624.4425404636
Q05869,E1_250721_25...E012_sample_22,48750.94196951929,EM9661,4,847,42848.8795016222
Q05869,E1_250721_25...E012_sample_05,58184.51654611834,EM9662,1,760,54094.9816702268
Q05869,E1_250721_25...E012_sample_11,50133.68224283312,EM9662,2,844,48151.3431151872
Q05869,E1_250721_25...E012_sample_17,56002.5599884103,EM9662,3,789,53316.4092649275
Q05869,E1_250721_25...E012_sample_23,56468.47579244784,EM9662,4,784,52711.8205865975
Q05869,E1_250721_25...E012_sample_01,37254.029865985765,TH9677,1,1032,39562.267303798
Q05869,E1_250721_25...E012_sample_07,41007.5767224009,TH9677,2,959,39959.7815086353
Q05869,E1_250721_25...E012_sample_13,40749.99927120153,TH9677,3,966,41815.1383350362
Q05869,E1_250721_25...E012_sample_19,37819.93511810753,TH9677,4,1021,39071.2766760579
Q06399,E1_250721_25...E012_sample_06,130472.7871833755,EM16223,1,395,123862.955156173
Q06399,E1_250721_25...E012_sample_12,122936.41700778823,EM16223,2,398,111784.614093733
Q06399,E1_250721_25...E012_sample_18,117280.86381188288,EM16223,3,424,111852.196023464
Q06399,E1_250721_25...E012_sample_24,124923.07348921722,EM16223,4,408,126780.154233348
Q06399,E1_250721_25...E012_sample_02,113826.0594699336,EM8513,1,454,124890.054743776
Q06399,E1_250721_25...E012_sample_08,127587.47420448776,EM8513,2,409,139025.380428524
Q06399,E1_250721_25...E012_sample_14,88386.90490607251,EM8513,3,533,105908.359559717
Q06399,E1_250721_25...E012_sample_20,101164.0434653939,EM8513,4,478,106392.437194971
Q06399,E1_250721_25...E012_sample_03,94808.31735196851,EM9660,1,492,96097.6753669582
Q06399,E1_250721_25...E012_sample_09,80996.42384676008,EM9660,2,568,85632.6276149926
Q06399,E1_250721_25...E012_sample_15,95329.05886059921,EM9660,3,498,101160.595334831
Q06399,E1_250721_25...E012_sample_21,91622.93528976059,EM9660,4,513,99981.4224133746
Q06399,E1_250721_25...E012_sample_04,112134.83822965881,EM9661,1,431,105464.853700795
Q06399,E1_250721_25...E012_sample_10,111484.90161624042,EM9661,2,433,105907.023255615
Q06399,E1_250721_25...E012_sample_16,117063.54104798294,EM9661,3,430,112780.08604734
Q06399,E1_250721_25...E012_sample_22,100685.0870986994,EM9661,4,474,88495.5857345262
Q06399,E1_250721_25...E012_sample_05,111890.43784980246,EM9662,1,455,104026.148945677
Q06399,E1_250721_25...E012_sample_11,104914.21364190108,EM9662,2,466,100765.794027695
Q06399,E1_250721_25...E012_sample_17,94424.43107190076,EM9662,3,510,89895.3835803088
Q06399,E1_250721_25...E012_sample_23,87938.1020028996,EM9662,4,548,82087.8798383061
Q06399,E1_250721_25...E012_sample_01,128123.29475758677,TH9677,1,386,136061.737569792
Q06399,E1_250721_25...E012_sample_07,122458.17950563077,TH9677,2,406,119329.218844506
Q06399,E1_250721_25...E012_sample_13,125737.65220763457,TH9677,3,406,129024.231043376
Q06399,E1_250721_25...E012_sample_19,111193.3122981612,TH9677,4,434,114872.345913907
Q06400,E1_250721_25...E012_sample_06,42987.525859141286,EM16223,1,933,40809.7512340419
Q06400,E1_250721_25...E012_sample_12,43510.4499872818,EM16223,2,935,39563.5319399689
Q06400,E1_250721_25...E012_sample_18,39678.861373820684,EM16223,3,991,37842.2159943434
Q06400,E1_250721_25...E012_sample_24,42282.91322221125,EM16223,4,949,42911.4823228386
Q06400,E1_250721_25...E012_sample_02,21698.13229022735,EM8513,1,1507,23807.2102485458
Q06400,E1_250721_25...E012_sample_08,21089.355205847027,EM8513,2,1530,22979.9645205456
Q06400,E1_250721_25...E012_sample_14,19529.08971534824,EM8513,3,1603,23400.4557309142
Q06400,E1_250721_25...E012_sample_20,22992.85577944272,EM8513,4,1456,24181.1801965409
Q06400,E1_250721_25...E012_sample_03,18322.108233689734,EM9660,1,1650,18571.2821222518
Q06400,E1_250721_25...E012_sample_09,19157.64623495678,EM9660,2,1620,20254.2224471734
Q06400,E1_250721_25...E012_sample_15,15089.842460425725,EM9660,3,1830,16012.9289541995
Q06400,E1_250721_25...E012_sample_21,15641.115044856442,EM9660,4,1788,17068.0073212056
Q06400,E1_250721_25...E012_sample_04,33805.897138882356,EM9661,1,1127,31795.0607702696
Q06400,E1_250721_25...E012_sample_10,35951.49326076541,EM9661,2,1059,34152.746942796
Q06400,E1_250721_25...E012_sample_16,32965.61877059382,EM9661,3,1160,31759.3786098395
Q06400,E1_250721_25...E012_sample_22,31647.589205046184,EM9661,4,1188,27816.1545516745
Q06400,E1_250721_25...E012_sample_05,42447.322553769576,EM9662,1,944,39463.8861298497
Q06400,E1_250721_25...E012_sample_11,34009.20348235358,EM9662,2,1120,32664.4433979738
Q06400,E1_250721_25...E012_sample_17,26985.420012964274,EM9662,3,1314,25691.070156345
Q06400,E1_250721_25...E012_sample_23,26067.222424950112,EM9662,4,1343,24333.0589744494
Q06400,E1_250721_25...E012_sample_01,45392.66995146865,TH9677,1,888,48205.1726675815
Q06400,E1_250721_25...E012_sample_07,44125.540355959085,TH9677,2,910,42998.0772458422
Q06400,E1_250721_25...E012_sample_13,38489.25076978038,TH9677,3,1010,39495.29752477
Q06400,E1_250721_25...E012_sample_19,39294.504385404936,TH9677,4,984,40594.6347579972
Q06994,E1_250721_25...E012_sample_06,35955.01757769466,EM16223,1,1082,34133.5141680246
Q06994,E1_250721_25...E012_sample_12,38756.44516093135,EM16223,2,1017,35240.7721927114
Q06994,E1_250721_25...E012_sample_18,36466.146011026336,EM16223,3,1064,34778.2100103556
Q06994,E1_250721_25...E012_sample_24,32975.693982230485,EM16223,4,1164,33465.9038738726
Q06994,E1_250721_25...E012_sample_02,26943.707670187032,EM8513,1,1319,29562.6602695387
Q06994,E1_250721_25...E012_sample_08,29903.632783540477,EM8513,2,1217,32584.4206090598
Q06994,E1_250721_25...E012_sample_14,27645.634690090712,EM8513,3,1288,33125.9910291706
Q06994,E1_250721_25...E012_sample_20,31230.3472611638,EM8513,4,1211,32844.4044518359
Q06994,E1_250721_25...E012_sample_03,38917.06320636889,EM9660,1,1003,39446.3208576645
Q06994,E1_250721_25...E012_sample_09,37174.67896438408,EM9660,2,1042,39302.5431158136
Q06994,E1_250721_25...E012_sample_15,32351.584834574147,EM9660,3,1162,34330.6188166247
Q06994,E1_250721_25...E012_sample_21,29502.852270493247,EM9660,4,1226,32194.3094916893
Q06994,E1_250721_25...E012_sample_04,38577.09445419057,EM9661,1,1010,36282.458574385
Q06994,E1_250721_25...E012_sample_10,38788.709137318205,EM9661,2,1001,36848.0095609899
Q06994,E1_250721_25...E012_sample_16,38767.350948495696,EM9661,3,1030,37348.820449628
Q06994,E1_250721_25...E012_sample_22,39972.94161835019,EM9661,4,998,35133.593106795
Q06994,E1_250721_25...E012_sample_05,43065.088940032605,EM9662,1,933,40038.232422044
Q06994,E1_250721_25...E012_sample_11,37507.74968494408,EM9662,2,1043,36024.6533619916
Q06994,E1_250721_25...E012_sample_17,40030.57708958086,EM9662,3,1001,38110.5190845028
Q06994,E1_250721_25...E012_sample_23,40414.84387469508,EM9662,4,1001,37726.1820770305
Q06994,E1_250721_25...E012_sample_01,32186.196254158065,TH9677,1,1160,34180.4337485144
Q06994,E1_250721_25...E012_sample_07,36760.68723611307,TH9677,2,1044,35821.4053955528
Q06994,E1_250721_25...E012_sample_13,34774.845843989424,TH9677,3,1094,35683.8040626326
Q06994,E1_250721_25...E012_sample_19,30078.58702307117,TH9677,4,1220,31073.7919547786
Q06995,E1_250721_25...E012_sample_06,36530.99717562165,EM16223,1,1069,34680.3142835815
Q06995,E1_250721_25...E012_sample_12,37876.00071964798,EM16223,2,1033,34440.194589302
Q06995,E1_250721_25...E012_sample_18,37124.05693174216,EM16223,3,1046,35405.6677121331
Q06995,E1_250721_25...E012_sample_24,36210.950286034225,EM16223,4,1081,36749.2548331816
Q06995,E1_250721_25...E012_sample_02,27629.88365932255,EM8513,1,1302,30315.5331814718
Q06995,E1_250721_25...E012_sample_08,27200.996472396633,EM8513,2,1300,29639.4995369919
Q06995,E1_250721_25...E012_sample_14,25826.466895434758,EM8513,3,1349,30946.1989310015
Q06995,E1_250721_25...E012_sample_20,30256.641830165157,EM8513,4,1243,31820.3756530131
Q06995,E1_250721_25...E012_sample_03,33341.688776774114,EM9660,1,1135,33795.1234000048
Q06995,E1_250721_25...E012_sample_09,34109.81946507901,EM9660,2,1117,36062.2522519502
Q06995,E1_250721_25...E012_sample_15,31211.22429223023,EM9660,3,1200,33120.4993342898
Q06995,E1_250721_25...E012_sample_21,33373.09687157185,EM9660,4,1130,36417.6249648268
Q06995,E1_250721_25...E012_sample_04,35836.177718960054,EM9661,1,1075,33704.5765615255
Q06995,E1_250721_25...E012_sample_10,35700.3809997635,EM9661,2,1068,33914.1984785632
Q06995,E1_250721_25...E012_sample_16,36218.80028606692,EM9661,3,1077,34893.5234337372
Q06995,E1_250721_25...E012_sample_22,33005.50178458449,EM9661,4,1155,29009.6706181077
Q06995,E1_250721_25...E012_sample_05,39774.15910564664,EM9662,1,1011,36978.6076346144
Q06995,E1_250721_25...E012_sample_11,41056.92464458434,EM9662,2,971,39433.490168147
Q06995,E1_250721_25...E012_sample_17,38937.92746932306,EM9662,3,1022,37070.2781678574
Q06995,E1_250721_25...E012_sample_23,47962.92524750128,EM9662,4,885,44772.1153258541
Q06995,E1_250721_25...E012_sample_01,40295.16907432508,TH9677,1,973,42791.833680944
Q06995,E1_250721_25...E012_sample_07,37741.99996536105,TH9677,2,1024,36777.6443490965
Q06995,E1_250721_25...E012_sample_13,35302.34140716739,TH9677,3,1086,36225.0875065563
Q06995,E1_250721_25...E012_sample_19,34879.24803797653,TH9677,4,1105,36033.2915984342
Q08015,E1_250721_25...E012_sample_06,13191.992487187927,EM16223,1,1918,12523.6779955087
Q08015,E1_250721_25...E012_sample_12,9290.947932078983,EM16223,2,2112,8448.1478672558
Q08015,E1_250721_25...E012_sample_18,13281.332595449736,EM16223,3,1900,12666.5695377369
Q08015,E1_250721_25...E012_sample_24,12040.90843229646,EM16223,4,1973,12219.9061031582
Q08015,E1_250721_25...E012_sample_02,8436.284874988429,EM8513,1,2252,9256.29934636978
Q08015,E1_250721_25...E012_sample_08,7228.205738554401,EM8513,2,2312,7876.19677310627
Q08015,E1_250721_25...E012_sample_14,7336.45806801799,EM8513,3,2354,8790.80718787624
Q08015,E1_250721_25...E012_sample_20,9363.606614339858,EM8513,4,2264,9847.53964461052
Q08015,E1_250721_25...E012_sample_03,8391.77224770195,EM9660,1,2246,8505.89724337479
Q08015,E1_250721_25...E012_sample_09,11034.096883310005,EM9660,2,2060,11665.6842932212
Q08015,E1_250721_25...E012_sample_15,11764.21910296713,EM9660,3,2024,12483.8682174111
Q08015,E1_250721_25...E012_sample_21,10582.61409575763,EM9660,4,2105,11548.0344173597
Q08015,E1_250721_25...E012_sample_04,12821.521087122283,EM9661,1,1935,12058.8736473279
Q08015,E1_250721_25...E012_sample_10,11115.904051676056,EM9661,2,1985,10559.7465830884
Q08015,E1_250721_25...E012_sample_16,11454.903908318993,EM9661,3,1998,11035.7591858143
Q08015,E1_250721_25...E012_sample_22,12013.205381157462,EM9661,4,1946,10558.8193583479
Q08015,E1_250721_25...E012_sample_05,12122.362572406806,EM9662,1,1946,11270.3347914633
Q08015,E1_250721_25...E012_sample_11,13395.303755991854,EM9662,2,1879,12865.6391956752
Q08015,E1_250721_25...E012_sample_17,10968.961988103285,EM9662,3,2000,10442.8380897262
Q08015,E1_250721_25...E012_sample_23,12035.164232008176,EM9662,4,1980,11234.505780882
Q08015,E1_250721_25...E012_sample_01,12325.001547158807,TH9677,1,1922,13088.6512810154
Q08015,E1_250721_25...E012_sample_07,12760.307711247899,TH9677,2,1910,12434.2657840077
Q08015,E1_250721_25...E012_sample_13,12158.716193892127,TH9677,3,1987,12476.5253672863
Q08015,E1_250721_25...E012_sample_19,11424.788033553692,TH9677,4,2046,11802.7979908028
Q08016,E1_250721_25...E012_sample_06,6795.163442845777,EM16223,1,2362,6450.91626361237
Q08016,E1_250721_25...E012_sample_12,5391.831759214089,EM16223,2,2376,4902.72815112138
Q08016,E1_250721_25...E012_sample_18,11468.372614533379,EM16223,3,2008,10937.5274026669
Q08016,E1_250721_25...E012_sample_24,15320.322723118868,EM16223,4,1783,15548.071493048301
Q08016,E1_250721_25...E012_sample_02,11786.647243533731,EM8513,1,2017,12932.3199480461
Q08016,E1_250721_25...E012_sample_08,15197.37149128786,EM8513,2,1819,16559.7788204791
Q08016,E1_250721_25...E012_sample_14,10390.280507759544,EM8513,3,2136,12450.0067641413
Q08016,E1_250721_25...E012_sample_20,11667.666194453437,EM8513,4,2087,12270.6783980013
Q08016,E1_250721_25...E012_sample_03,11196.81239400778,EM9660,1,2049,11349.084897157
Q08016,E1_250721_25...E012_sample_09,12511.00747421837,EM9660,2,1965,13227.1326713764
Q08016,E1_250721_25...E012_sample_15,12883.162820030911,EM9660,3,1956,13671.2607493133
Q08016,E1_250721_25...E012_sample_21,11555.01990983601,EM9660,4,2043,12609.149913683
Q08016,E1_250721_25...E012_sample_04,5398.948740863286,EM9661,1,2425,5077.80943088422
Q08016,E1_250721_25...E012_sample_10,5895.577567990781,EM9661,2,2360,5600.60655341266
Q08016,E1_250721_25...E012_sample_16,12489.934114361762,EM9661,3,1946,12032.916752159
Q08016,E1_250721_25...E012_sample_22,14029.14362074208,EM9661,4,1830,12330.6968077043
Q08016,E1_250721_25...E012_sample_05,4983.394792412817,EM9662,1,2387,4633.13379492296
